Year Month,Postal Code,Customer Class,Total Gallons
201202,78736,Irrigation - Multi-Family,229800
201202,78736,Irrigation - Residential,3800
201202,78736,Multi-Family,2434700
201202,78736,Residential,9641500
201202,78737,Irrigation - Residential,2700
201202,78737,Residential,4360300
201202,78738,Residential,6300
201202,78739,Irrigation - Residential,0
201202,78739,Residential,27732400
201202,78741,Irrigation - Multi-Family,1612400
201202,78741,Irrigation - Residential,3700
201202,78741,Multi-Family,73949800
201202,78741,Residential,16956200
201202,78742,Multi-Family,343100
201202,78742,Residential,613500
201202,78744,Irrigation - Multi-Family,221200
201202,78744,Irrigation - Residential,600
201202,78744,Multi-Family,25653800
201202,78744,Residential,45512600
201202,78745,Irrigation - Multi-Family,1684400
201202,78745,Irrigation - Residential,13400
201202,78745,Multi-Family,29491700
201202,78745,Residential,63892700
201202,78746,Irrigation - Multi-Family,235100
201202,78746,Irrigation - Residential,181000
201202,78746,Multi-Family,12055100
201202,78746,Residential,21331900
201202,78747,Irrigation - Multi-Family,186400
201202,78747,Irrigation - Residential,71600
201202,78747,Multi-Family,5608000
201202,78747,Residential,18241000
201202,78748,Irrigation - Multi-Family,2546700
201202,78748,Irrigation - Residential,0
201202,78748,Multi-Family,13953300
201202,78748,Residential,55556500
201202,78749,Irrigation - Multi-Family,2901300
201202,78749,Irrigation - Residential,1300
201202,78749,Multi-Family,11642000
201202,78749,Residential,46336800
201202,78750,Irrigation - Multi-Family,408800
201202,78750,Irrigation - Residential,0
201202,78750,Multi-Family,12033600
201202,78750,Residential,36827400
201202,78751,Irrigation - Multi-Family,263500
201202,78751,Irrigation - Residential,51600
201202,78751,Multi-Family,12637100
201202,78751,Residential,13755300
201202,78752,Irrigation - Multi-Family,55400
201202,78752,Multi-Family,19527900
201202,78752,Residential,11476100
201202,78753,Irrigation - Multi-Family,1920500
201202,78753,Irrigation - Residential,0
201202,78753,Multi-Family,47731500
201202,78753,Residential,34244000
201202,78754,Irrigation - Multi-Family,933900
201202,78754,Irrigation - Residential,0
201202,78754,Multi-Family,11194400
201202,78754,Residential,15639600
201202,78756,Irrigation - Multi-Family,68600
201202,78756,Irrigation - Residential,11000
201202,78756,Multi-Family,5256900
201202,78756,Residential,9079000
201202,78757,Irrigation - Multi-Family,16000
201202,78757,Irrigation - Residential,56200
201202,78757,Multi-Family,12390500
201202,78757,Residential,26404900
201202,78758,Irrigation - Multi-Family,760200
201202,78758,Irrigation - Residential,300
201202,78758,Multi-Family,37668300
201202,78758,Residential,35193600
201202,78759,Irrigation - Multi-Family,547800
201202,78759,Irrigation - Residential,21100
201202,78759,Multi-Family,32890500
201202,78759,Residential,46079900
201203,,Irrigation - Residential,26700
201203,78613,Irrigation - Multi-Family,13000
201203,78613,Multi-Family,46300
201203,78617,Multi-Family,3578600
201203,78617,Residential,17782600
201203,78652,Irrigation - Residential,19700
201203,78652,Multi-Family,21100
201203,78652,Residential,696200
201203,78653,Multi-Family,69700
201203,78653,Residential,886100
201203,78660,Irrigation - Residential,5900
201203,78660,Multi-Family,125000
201203,78660,Residential,7000500
201203,78701,Irrigation - Multi-Family,137500
201203,78701,Multi-Family,12766300
201203,78701,Residential,1014400
201203,78702,Irrigation - Multi-Family,412500
201203,78702,Irrigation - Residential,27000
201203,78702,Multi-Family,9410400
201203,78702,Residential,26549200
201203,78703,Irrigation - Multi-Family,215200
201203,78703,Irrigation - Residential,649100
201203,78703,Multi-Family,12261300
201203,78703,Residential,39472900
201203,78704,Irrigation - Multi-Family,796100
201203,78704,Irrigation - Residential,134500
201203,78704,Multi-Family,46078600
201203,78704,Residential,40437200
201203,78705,Irrigation - Multi-Family,339300
201203,78705,Irrigation - Residential,38900
201203,78705,Multi-Family,33634300
201203,78705,Residential,8730300
201203,78712,Residential,0
201203,78717,Irrigation - Multi-Family,1436400
201203,78717,Irrigation - Residential,0
201203,78717,Multi-Family,7487800
201203,78717,Residential,24170500
201203,78719,Multi-Family,553800
201203,78719,Residential,1448200
201203,78721,Irrigation - Multi-Family,0
201203,78721,Irrigation - Residential,300
201203,78721,Multi-Family,4620500
201203,78721,Residential,14857300
201203,78722,Irrigation - Multi-Family,0
201203,78722,Multi-Family,2635900
201203,78722,Residential,7855400
201203,78723,Irrigation - Multi-Family,160300
201203,78723,Multi-Family,19841200
201203,78723,Residential,31013700
201203,78724,Irrigation - Multi-Family,195500
201203,78724,Irrigation - Residential,20300
201203,78724,Multi-Family,14199200
201203,78724,Residential,19618500
201203,78725,Multi-Family,244500
201203,78725,Residential,1988100
201203,78726,Irrigation - Multi-Family,1924000
201203,78726,Irrigation - Residential,1000
201203,78726,Multi-Family,11131400
201203,78726,Residential,12443700
201203,78727,Irrigation - Multi-Family,2363500
201203,78727,Irrigation - Residential,800
201203,78727,Multi-Family,19027400
201203,78727,Residential,33134800
201203,78728,Irrigation - Multi-Family,125800
201203,78728,Multi-Family,7288600
201203,78728,Residential,3763200
201203,78729,Irrigation - Multi-Family,1385900
201203,78729,Irrigation - Residential,1300
201203,78729,Multi-Family,21444400
201203,78729,Residential,18607800
201203,78730,Irrigation - Multi-Family,591200
201203,78730,Irrigation - Residential,173600
201203,78730,Multi-Family,4404000
201203,78730,Residential,4235600
201203,78731,Irrigation - Multi-Family,447700
201203,78731,Irrigation - Residential,161000
201203,78731,Multi-Family,18042700
201203,78731,Residential,46730500
201203,78733,Residential,18200
201203,78735,Irrigation - Multi-Family,887800
201203,78735,Multi-Family,9733400
201203,78735,Residential,14928600
201203,78736,Irrigation - Multi-Family,262300
201203,78736,Irrigation - Residential,5100
201203,78736,Multi-Family,2642800
201203,78736,Residential,10095400
201203,78737,Irrigation - Residential,3700
201203,78737,Residential,4716500
201203,78738,Residential,8200
201203,78739,Irrigation - Residential,0
201203,78739,Residential,28970000
201203,78741,Irrigation - Multi-Family,1578800
201203,78741,Irrigation - Residential,13900
201203,78741,Multi-Family,80321000
201203,78741,Residential,17558343
201203,78742,Multi-Family,283800
201203,78742,Residential,620200
201203,78744,Irrigation - Multi-Family,220000
201203,78744,Irrigation - Residential,500
201203,78744,Multi-Family,22950200
201203,78744,Residential,49249100
201203,78745,Irrigation - Multi-Family,1842500
201203,78745,Irrigation - Residential,22300
201203,78745,Multi-Family,33378500
201203,78745,Residential,71105300
201203,78746,Irrigation - Multi-Family,365700
201203,78746,Irrigation - Residential,197700
201203,78746,Multi-Family,13126500
201203,78746,Residential,23111500
201203,78747,Irrigation - Multi-Family,121700
201203,78747,Irrigation - Residential,74600
201203,78747,Multi-Family,6615300
201203,78747,Residential,19494600
201203,78748,Irrigation - Multi-Family,1935200
201203,78748,Irrigation - Residential,6000
201203,78748,Multi-Family,13929700
201203,78748,Residential,58731900
201203,78749,Irrigation - Multi-Family,3595400
201203,78749,Irrigation - Residential,1300
201203,78749,Multi-Family,14891400
201203,78749,Residential,52594500
201203,78750,Irrigation - Multi-Family,564000
201203,78750,Irrigation - Residential,0
201203,78750,Multi-Family,13170800
201203,78750,Residential,39662400
201203,78751,Irrigation - Multi-Family,255200
201203,78751,Irrigation - Residential,42200
201203,78751,Multi-Family,13538000
201203,78751,Residential,14806000
201203,78752,Irrigation - Multi-Family,60800
201203,78752,Multi-Family,21296600
201203,78752,Residential,11918000
