"","TCAD.or.WCAD.Property.ID..s.","Duct.System.1...Type","Duct.System.1...RValue","Duct.System.1...Return.Sizing","Duct.System.1.....Leakage","System.1...Location.Air.Handler","System.1...Air.Handler.Type","System.1...Age..years.","System.1...sqft.ton","Water.Heater...Fuel.Type","Water.Heating...Tank.Type","Toilet.Type","Programmable.Thermostat.Present","Window.Screen.Area.Recommended..sqft.","Furnace...Fuel.Type","Attic.R.Value","Recommended.Additional.R.Value","Year.Built","Bedrooms","Conditioned..sqft.","Attic..sqft.","Home_Type","Lat","Long","set","NeedsDuctFixed"
"2561","223270","Mylar_Flex",6,"Adequate",11,"Attic","Horizontal",13,640,"Elec","Tank","Standard","N",0,"Elec",9,29,1947,3,1600,1180,"Single Family",30.3177456090004,-97.7264623039997,"train","0"
"2564","104571","Mylar_Flex",6,"Adequate",16.5,"Attic","Horizontal",15,675,"Gas","Tank","Water_Saving","N",144,"Elec",35,0,1982,4,2702,2702,"Single Family",30.2638324710005,-97.8011807819997,"train","0"
"2566","254151","Mylar_Flex",5,"Inadequate",21,"Closet","Up Flow",13,453,"Gas","Tank","Standard","Y",86,"Gas",12,26,1972,3,1358,1358,"Single Family",30.3792247570005,-97.7066151529997,"train","0"
"2567","333663","Grey_Flex",5,"Inadequate",22,"Closet","Up Flow",12,638,"Gas","Tank","Water_Saving","Y",60,"Gas",19,19,1981,3,1915,1515,"Single Family",30.1975256710004,-97.8171880759997,"train","0"
"2568","247525","Mylar_Flex",6,"Adequate",21.2,"Attic","Horizontal",12,390,"Gas","Tank","Standard","Y",54,"Gas",11,27,1980,2,1170,1000,"Condo",30.3652854410005,-97.7013990129997,"train","0"
"2569","326569","Duct_Board",6,"Adequate",40,"Garage","Up Flow",15,587,"Elec","Tank","Water_Saving","Y",18,"Elec",22,16,1979,3,1469,1469,"Single Family",30.2046380500005,-97.8407009749997,"train","1"
"2570","220248","Mylar_Flex",6,"Adequate",14,"Closet","Up Flow",20,453,"Elec","Tank","Water_Saving","N",116,"Gas",5,33,1959,5,1811,1811,"Duplex",30.3103623520005,-97.7242976629997,"test","0"
"2571","155585","Grey_Flex",6,"Adequate",17,"Attic","Horizontal",23,426,"Gas","Tank","Water_Saving","N",30,"Gas",23.2,14.8,1991,4,3210,1211,"Single Family",30.4041601310005,-97.7710588769997,"train","0"
"2575","149034","Duct_Board",6,"Adequate",29,"Attic","Up Flow",17,645,"Gas","Tank","Standard","Y",0,"Gas",26,0,1991,4,3200,2132,"Single Family",30.3816883290004,-97.7968517639997,"test","1"
"2576","553654","Duct_Board",4,"Adequate",25,"Attic","Horizontal",13,458,"Elec","Tank","Standard","N",48,"Elec",23,15,1982,2,917,458,"Condo",30.2102568890004,-97.7873670119997,"test","0"
"2577","255009","Duct_Board",6,"Adequate",19,"Closet","Up Flow",13,554,"Elec","Tank","Water_Saving","Y",0,"Elec",28,10,1972,2,1664,340,"Condo",30.3801983410004,-97.7434005449997,"train","0"
"2578","102722","Duct_Board",5,"Adequate",32,"Closet","Up Flow",10,537,"Elec","Tank","Water_Saving","N",42,"Elec",0,19,1978,3,1881,500,"Single Family",30.2564370180004,-97.7794954259997,"train","1"
"2579","229928","Sheet_Metal",4,"Inadequate",17,"Closet","Up Flow",18,433,"Gas","Tank","Standard","N",0,"Gas",10,28,1956,3,1300,1300,"Single Family",30.3327959020004,-97.7249083589997,"train","0"
"2580","247737","Grey_Flex",4,"Inadequate",35.6,"Closet","Up Flow",12,455,"Elec","Tank","Standard","N",116,"Gas",19,19,1982,2,1138,850,"Single Family",30.3667339740005,-97.6868165629997,"train","1"
"2581","326054","Grey_Flex",6,"Adequate",27.7,"Garage","Up Flow",15,534.8,"Gas","Tank","Standard","N",28,"Gas",12,26,1982,3,1337,1200,"Single Family",30.2124930550004,-97.8500826829997,"test","1"
"2582","135843","Sheet_Metal",2,"Adequate",12.1,"Closet","Up Flow",7,536,"Gas","Tankless","Water_Saving","Y",0,"Gas",8,30,1963,3,2680,2680,"Single Family",30.3576992970005,-97.7648004569997,"test","0"
"2583","326828","Duct_Board",8,"Inadequate",0.29,"Closet","Up Flow",11,610,"Gas","Tank","Standard","N",140.4,"Gas",33.4,0,1996,3,1832,1832,"Single Family",30.2084850120004,-97.8530330479997,"test","0"
"2584","797900","Sheet_Metal",4,"Inadequate",19,"","Up Flow",8,368,"Elec","Tank","Water_Saving","N",40,"Gas",24.5,13.5,1946,4,1104,550,"Single Family",30.2780584140004,-97.7183941059997,"train","0"
"2585","348807","Grey_Flex",8,"Adequate",16,"Garage","Up Flow",8,440,"Gas","Tank","Water_Saving","Y",0,"Gas",17.6,20.4,1986,3,1102,1102,"Single Family",30.1560014560005,-97.8169488249997,"train","0"
"2590","375620","Mylar_Flex",6,"Inadequate",14,"Attic","Horizontal",14,574,"Elec","Tank","Standard","Y",0,"Elec",20,18,1987,4,4365,2070,"Single Family",30.3932232930005,-97.8038776819997,"test","0"
"2591","381490","Mylar_Flex",8,"Adequate",18,"Closet","Up Flow",18,560,"Gas","Tank","Water_Saving","Y",0,"Gas",26.4,11.6,1996,3,1682,841,"Single Family",30.1839369400005,-97.8353865289997,"train","0"
"2593","224699","Mylar_Flex",6,"Adequate",8.5,"Attic","Horizontal",15,498,"Elec","Tank","Water_Saving","N",32,"Elec",24,0,1940,3,1250,846,"Single Family",30.3207599320004,-97.7404738689997,"test","0"
"2594","105730","Sheet_Metal",6,"Adequate",22,"Closet","Up Flow",8,548,"Elec","Tank","Water_Saving","N",0,"Elec",24.4,12.6,1979,3,1919,1919,"Single Family",30.2687406640005,-97.7981522459997,"train","0"
"2595","138642","Mylar_Flex",6,"Adequate",13,"Attic","Horizontal",2,472,"Elec","Tank","Standard","Y",0,"Gas",35,3,1992,3,2359,1674,"Single Family",30.3605193770005,-97.7770413299997,"train","0"
"2598","331065","Mylar_Flex",4,"Adequate",24,"Garage","Up Flow",18,601,"Elec","Tank","Water_Saving","Y",0,"Elec",35,0,1985,3,1503,785,"Single Family",30.2070329260005,-97.8471619289997,"test","0"
"2599","276411","Mylar_Flex",6,"Adequate",16.9,"Attic","Horizontal",9,618,"Gas","Tank","Standard","Y",0,"Gas",24,14,1982,3,1475,1300,"Single Family",30.4470973470005,-97.6803958789997,"train","0"
"2600","R091742","Mylar_Flex",6,"Adequate",18,"Closet","Up Flow",9,477,"Elec","Tank","Standard","Y",27,"Gas",16,22,1986,3,1433,1433,"Single Family",30.4486974840004,-97.7519756709997,"train","0"
"2601","381906","Mylar_Flex",8,"Adequate",18.9,"Garage","Up Flow",17,519,"Gas","Tank","Water_Saving","Y",0,"Gas",30,8,1997,3,1299,795,"Single Family",30.1737131160004,-97.7921034659997,"test","0"
"2602","226075","Mylar_Flex",6,"Adequate",33,"Closet","Up Flow",1,537,"Elec","Tankless","Water_Saving","N",0,"Gas",14,24,1955,3,1610,1610,"Single Family",30.3216861400005,-97.7517565549997,"test","1"
"2603","110855","Duct_Board",3,"Adequate",27.6,"Closet","Up Flow",15,481,"Elec","Tank","Water_Saving","N",0,"Elec",21,17,1970,4,2748,0,"Single Family",30.2802874730004,-97.7983749149997,"test","1"
"2605","R075323","Duct_Board",6,"Adequate",13,"Closet","Up Flow",9,557,"Elec","Tank","Water_Saving","Y",0,"Gas",10,28,1976,3,1673,1323,"Single Family",30.4525882690004,-97.8024954759996,"train","0"
"2606","139173","Grey_Flex",6,"Adequate",22.3,"Attic","Horizontal",11,584.5,"Gas","Tank","Water_Saving","Y",0,"Gas",16,22,1985,4,3507,700,"Single Family",30.3624878650004,-97.7835520289997,"test","0"
"2607","227415","Sheet_Metal",6,"Adequate",17,"Garage","Up Flow",14,553,"Elec","Tankless","Water_Saving","Y",200,"Elec",16,22,1955,4,2765,2765,"Single Family",30.3251671200005,-97.7469537739997,"train","0"
"2610","100753","Sheet_Metal",6,"Inadequate",9,"Closet","Up Flow",11,582,"Gas","Tank","Water_Saving","Y",0,"Gas",11,27,1965,3,2038,1831,"Single Family",30.2505694520004,-97.7786035659997,"test","0"
"2611","202054","Mylar_Flex",8,"Adequate",16,"Attic","Horizontal",8,593,"Gas","Tankless","Water_Saving","Y",0,"Gas",30,8,1927,5,5934,1021,"Single Family",30.2798622700005,-97.7470201009997,"train","0"
"2612","106023","Mylar_Flex",7,"Adequate",16,"Closet","Up Flow",20,591,"Gas","Tank","Water_Saving","Y",0,"Gas",38,0,1979,3,1773,1700,"Single Family",30.2701998570005,-97.8078111059997,"train","0"
"2616","R065433","Sheet_Metal",6,"Adequate",20,"Garage","Up Flow",15,625,"Elec","Tank","Water_Saving","N",36,"Elec",25,13,1975,3,1564,1000,"Single Family",30.4427647760004,-97.7562312539997,"test","0"
"2617","145997","Grey_Flex",6,"Adequate",9.3,"Closet","Up Flow",5,596.3,"Gas","Tank","Water_Saving","N",0,"Gas",38,0,1982,3,2087,1800,"Single Family",30.3762163560004,-97.7934655369997,"train","0"
"2618","207543","Mylar_Flex",8,"Inadequate",10,"Closet","Up Flow",18,262,"Elec","Tankless","Water_Saving","N",0,"Gas",22,16,1950,2,1048,1048,"Single Family",30.2877895230005,-97.7100274369997,"train","0"
"2620","340024","Mylar_Flex",6,"Adequate",14,"Garage","Up Flow",5,556.5,"Gas","Tank","Standard","Y",0,"Gas",14,24,1988,3,1113,1000,"Single Family",30.1904310570005,-97.8313500609997,"train","0"
"2621","226081","Sheet_Metal",6,"Adequate",14,"Closet","Up Flow",8,390,"Gas","Tank","Standard","N",48,"Gas",13,25,1952,2,1170,1152,"Single Family",30.3207646700005,-97.7523380989997,"train","0"
"2624","237172","Duct_Board",5,"Adequate",27,"Closet","Up Flow",3,505,"Gas","Tank","Water_Saving","N",74,"Gas",8,30,1962,4,2020,1100,"Single Family",30.3483436460004,-97.7486960399997,"test","1"
"2627","232665","Sheet_Metal",5,"Inadequate",22,"Closet","Up Flow",16,360,"Elec","Tank","Water_Saving","N",0,"Elec",0,0,1969,2,900,0,"Fourplex",30.3359381410004,-97.7078125909997,"train","0"
"2628","228032","Mylar_Flex",8,"Adequate",8,"Attic","Horizontal",13,520,"Gas","Tank","Water_Saving","Y",45,"Gas",21,17,1951,3,1040,1000,"Single Family",30.3245488580005,-97.7195417989997,"train","0"
"2629","135866","Sheet_Metal",7,"Adequate",9,"Garage","Up Flow",14,577,"Gas","Tank","Water_Saving","Y",0,"Gas",40,0,1974,3,2311,2200,"Single Family",30.3522747020004,-97.7624328219997,"train","0"
"2630","291524","Mylar_Flex",6,"Adequate",25,"Attic","Horizontal",10,484,"Gas","Tank","Standard","Y",0,"Gas",20,18,1987,3,1452,1300,"Single Family",30.2196551790005,-97.7266541789997,"train","0"
"2631","235836","Mylar_Flex",6,"Adequate",38,"Garage","Up Flow",18,524,"Gas","Tank","Water_Saving","N",105,"Gas",28,10,1952,3,1309,1309,"Single Family",30.3537341970004,-97.7322099189997,"test","1"
"2632","496311","Grey_Flex",8,"Adequate",15.6,"Attic","Horizontal",16,416,"Elec","Tank","Water_Saving","N",0,"Elec",0,21,1977,2,832,832,"Condo",30.3767185470005,-97.7574393519997,"train","0"
"2633","215293","Sheet_Metal",4,"Adequate",44.2,"","",20,659,"Gas","Tank","Water_Saving","N",97,"Gas",4,34,1972,3,1648,1600,"Single Family",30.3050061000005,-97.6663120639997,"train","1"
"2634","214836","Mylar_Flex",8,"Adequate",17,"Attic","Horizontal",21,414,"Gas","Tank","Water_Saving","Y",0,"Gas",17.4,20.6,1925,2,1243,1143,"Single Family",30.3031240740004,-97.7306551139997,"train","0"
"2635","546373","Mylar_Flex",6,"Adequate",14.9,"Attic","Horizontal",11,499,"Elec","Tank","Water_Saving","N",0,"Elec",30,8,2003,4,2995,0,"Single Family",30.3294949530004,-97.7370947489997,"train","0"
"2637","316806","Sheet_Metal",6,"Inadequate",39,"Closet","Up Flow",13,920,"Gas","Tank","Standard","Y",112.2,"Gas",21,10,1969,3,1841,1841,"Single Family",30.2174758650004,-97.7807153679997,"train","1"
"2638","226128","Sheet_Metal",6,"Inadequate",9.5,"Attic","Horizontal",10,306,"Elec","Tankless","Water_Saving","N",0,"Elec",14,24,1956,5,2587,0,"Single Family",30.3199746680004,-97.7501268069997,"train","0"
"2639","314997","Mylar_Flex",6,"Adequate",12,"Attic","Horizontal",12,537,"Elec","Tank","Water_Saving","Y",0,"Elec",25,0,1989,3,1610,1610,"Single Family",30.2253877210005,-97.8645798559997,"train","0"
"2640","244045","Sheet_Metal",4,"Inadequate",11.2,"Closet","Up Flow",18,597,"Gas","Tank","Water_Saving","N",130,"Gas",40,0,1965,4,1793,0,"Single Family",30.3571911860005,-97.7401220999997,"train","0"
"2641","142126","Mylar_Flex",6,"Adequate",17.5,"Attic","Horizontal",15,486,"Elec","Tank","Water_Saving","Y",497,"Elec",11,27,1985,4,4669,2976,"Single Family",30.3786586090005,-97.8158011329997,"train","0"
"2643","327154","Mylar_Flex",5,"Inadequate",12,"Closet","Up Flow",17,605,"Gas","Tank","Water_Saving","N",182,"Gas",22,16,1997,3,1815,1815,"Single Family",30.2107910580004,-97.8721529709997,"train","0"
"2648","232281","Mylar_Flex",6,"Inadequate",9.9,"Attic","Horizontal",24,497,"Gas","Tank","Water_Saving","N",65.2,"Elec",19,19,1948,3,1492,800,"Single Family",30.3324358420005,-97.7193487399997,"train","0"
"2650","R075044","Mylar_Flex",8,"Adequate",18,"","Up Flow",9,560,"Elec","Tank","Water_Saving","Y",0,"Elec",22.8,15.2,1988,2,1121,560,"Fourplex",30.4477866730005,-97.7776513009997,"train","0"
"2651","208784","Mylar_Flex",6,"Adequate",58,"Closet","Up Flow",15,752,"Gas","Tank","Water_Saving","N",99,"Elec",22,16,1926,3,4246,2256,"Single Family",30.2900955680005,-97.7306480069997,"test","1"
"2652","502200","Sheet_Metal",4,"Adequate",4.9,"Closet","Up Flow",14,502,"Gas","Tank","Water_Saving","N",129,"Gas",21,17,1972,3,1508,0,"Single Family",30.3824866210005,-97.6706529249997,"train","0"
"2654","236348","Duct_Board",4,"Inadequate",100,"Closet","Up Flow",17,415,"Gas","Tank","Water_Saving","Y",345,"Gas",6,32,1952,4,1038,1038,"Single Family",30.3422451210005,-97.7277426509997,"train","1"
"2656","320339","Mylar_Flex",6,"Adequate",38,"Closet","Up Flow",13,578,"Gas","Tank","Water_Saving","N",0,"Gas",17.4,17.4,1983,3,2314,2314,"Single Family",30.2169949950004,-97.8363423479997,"train","1"
"2657","225045","Duct_Board",6,"Adequate",16,"Attic","Horizontal",17,463,"Gas","Tank","Water_Saving","Y",170,"Gas",18,20,1950,2,1158,1158,"Single Family",30.3199166320005,-97.7218691639997,"train","0"
"2658","228116","Mylar_Flex",6,"Inadequate",5,"Closet","Up Flow",5,441,"Gas","Tank","Water_Saving","N",154,"Gas",7,31,1954,3,1102,1102,"Single Family",30.3240561440005,-97.7170841489997,"test","0"
"2659","163832","Duct_Board",4,"Adequate",56.7,"Attic","Horizontal",8,573,"Gas","Tank","Water_Saving","Y",46,"Gas",18,20,1977,3,1719,1379,"Single Family",30.4242749590005,-97.7661329179997,"train","1"
"2660","R074236","Grey_Flex",4,"Inadequate",10.8,"Closet","Up Flow",14,596,"Elec","Tank","Water_Saving","Y",30,"Elec",22,16,1983,3,1790,0,"Single Family",30.4583729250004,-97.7722859259997,"test","0"
"2665","342629","Mylar_Flex",6,"Adequate",9,"Attic","Horizontal",17,571,"Gas","Tank","Water_Saving","Y",0,"Gas",26,12,1997,3,1714,1714,"Single Family",30.1855169420004,-97.8413370029997,"test","0"
"2666","219006","Mylar_Flex",6,"Adequate",22,"Closet","Up Flow",9,560,"Elec","Tank","Water_Saving","Y",90,"Gas",0,25,1964,3,1681,1361,"Single Family",30.3121480910004,-97.6871624109997,"train","0"
"2667","263131","Duct_Board",6,"Adequate",18.7,"Attic","Up Flow",7,674.5,"Gas","Tank","Water_Saving","Y",0,"Gas",26,12,1992,4,2698,1500,"Single Family",30.4045071630005,-97.6465644039997,"train","0"
"2670","122630","Mylar_Flex",6,"Adequate",7.2,"","Horizontal",14,798,"Elec","Tankless","Water_Saving","Y",0,"Elec",30,0,1999,4,5777,0,"Single Family",30.3180654000005,-97.8169843579997,"train","0"
"2671","285785","Mylar_Flex",6,"Adequate",17,"Closet","Up Flow",16,475,"Gas","Tank","Water_Saving","Y",0,"Gas",37,0,1998,3,1424,1424,"Single Family",30.2382752810005,-97.5858823639997,"test","0"
"2673","318326","Grey_Flex",6,"Adequate",17,"Closet","Up Flow",19,461,"Gas","Tank","Water_Saving","Y",0,"Gas",15.8,22.2,1982,3,1846,1494,"Single Family",30.2226837140005,-97.8641925539997,"train","0"
"2674","339884","Grey_Flex",5,"Adequate",16,"Closet","Up Flow",3,519,"Gas","Tank","Water_Saving","Y",110,"Gas",19,19,1982,3,1299,1100,"Single Family",30.1868742750004,-97.8300353669997,"test","0"
"2676","474194","Sheet_Metal",3,"Adequate",27,"Garage","Up Flow",5,296,"Elec","Tank","Water_Saving","N",0,"Elec",0,0,1952,3,1482,0,"Single Family",30.3165583160005,-97.7697993789997,"test","1"
"2678","305522","Mylar_Flex",6,"Inadequate",18,"Attic","Horizontal",17,574,"Gas","Tank","Water_Saving","N",90,"Gas",16,22,1954,2,1148,1148,"Single Family",30.2370565240005,-97.7582163249997,"train","0"
"2679","289752","Duct_Board",6,"Adequate",25,"Closet","Up Flow",9,385,"Elec","Tank","Water_Saving","N",0,"Elec",11.6,26.4,1972,1,578,354,"Fourplex",30.2269535110005,-97.7406953539997,"train","0"
"2682","125052","Duct_Board",2,"Adequate",23.8,"Attic","Horizontal",6,600,"Elec","Tank","Water_Saving","Y",236,"Elec",17.4,21,1984,3,3250,3250,"Single Family",30.3316446560004,-97.8068529179997,"train","0"
"2683","224579","Grey_Flex",6,"Adequate",37.5,"","",13,401,"Gas","Tank","Standard","N",34.8,"Gas",0,13,1939,3,1203,1098,"Single Family",30.3169567930005,-97.7429267809997,"train","1"
"2685","261928","Grey_Flex",4,"Adequate",11.5,"Closet","Up Flow",16,520,"Gas","Tank","Water_Saving","Y",0,"Gas",30,8,1985,3,2080,0,"Single Family",30.4001378760005,-97.6934895259997,"test","0"
"2687","235040","Mylar_Flex",4,"Adequate",26,"Closet","Up Flow",10,528,"Gas","Tank","Water_Saving","N",45,"Gas",8,30,1952,3,1056,1056,"Single Family",30.3403897120004,-97.7211878819997,"train","1"
"2688","209362","Mylar_Flex",6,"Adequate",9.87,"Attic","Horizontal",9,472.8,"Gas","Tankless","Standard","Y",0,"Gas",30,8,1952,4,1891,1500,"Single Family",30.2940929500004,-97.7098189809997,"train","0"
"2689","221166","Sheet_Metal",3,"Adequate",20,"Attic","Horizontal",20,816,"Elec","Tank","Water_Saving","N",0,"Elec",30,0,1965,3,1224,1224,"Single Family",30.3144245260004,-97.7468057229997,"train","0"
"2690","304141","Sheet_Metal",4,"Adequate",27.8,"Closet","Up Flow",19,643.3,"Gas","Tank","Standard","N",366,"Gas",11,27,1957,3,1930,1500,"Single Family",30.2464844240005,-97.7873859629997,"train","1"
"2692","209113","Mylar_Flex",6,"Adequate",12,"Attic","Horizontal",18,286,"Elec","Tank","Water_Saving","Y",24,"Elec",24,0,1947,2,572,572,"Single Family",30.2905634100005,-97.7209761189997,"test","0"
"2693","114618","Sheet_Metal",4,"Adequate",29,"Attic","Horizontal",16,621,"Elec","Tank","Water_Saving","Y",152,"Elec",26,12,1938,3,1553,1553,"Single Family",30.2933834900005,-97.7641667979997,"test","1"
"2695","554914","Grey_Flex",8,"Adequate",19,"Closet","Up Flow",15,575,"Gas","Tank","Water_Saving","N",8,"Gas",21,17,1999,4,1150,1150,"Single Family",30.1802546100005,-97.7596245869997,"train","0"
"2697","423072","Mylar_Flex",8,"Adequate",23,"Attic","Horizontal",12,588,"Gas","Tank","Water_Saving","Y",0,"Gas",41.2,0,1999,4,4834,3300,"Single Family",30.3200302680004,-97.8099981079997,"train","0"
"2698","333964","Mylar_Flex",6,"Inadequate",24,"Attic","Horizontal",19,637,"Gas","Tank","Water_Saving","Y",115,"Gas",25,13,1993,3,1494,1000,"Single Family",30.1968943800005,-97.8273041179997,"train","0"
"2699","141532","Mylar_Flex",8,"Inadequate",13,"Attic","Horizontal",20,536,"Gas","Tank","Water_Saving","N",0,"Gas",19,19,1984,2,1877,1877,"Single Family",30.3687249660005,-97.7582625169997,"train","0"
"2701","343608","Mylar_Flex",6,"Adequate",7.5,"Closet","Up Flow",14,553,"Gas","Tank","Water_Saving","N",158,"Gas",28,10,1986,4,1658,1600,"Single Family",30.1737841800004,-97.7588938059997,"train","0"
"2702","574908","Grey_Flex",6,"Adequate",14.5,"Garage","Up Flow",5,451.7,"Gas","Tank","Standard","Y",0,"Gas",18,20,1983,3,1355,1200,"Single Family",30.1934868340005,-97.8240161979997,"test","0"
"2704","362584","Grey_Flex",6,"Adequate",12,"Attic","Horizontal",10,570,"Elec","Tank","Standard","N",0,"Elec",18,21,1995,3,2109,1800,"Single Family",30.4157152310004,-97.6855137119997,"train","0"
"2706","372552","Mylar_Flex",6,"Adequate",6.8,"Attic","Horizontal",7,578,"Gas","Tank","Water_Saving","Y",0,"Gas",26,12,1996,3,2026,1600,"Single Family",30.2127441490005,-97.8791682289997,"train","0"
"2707","328855","Duct_Board",6,"Inadequate",14,"Closet","Up Flow",20,520,"Gas","Tank","Water_Saving","Y",15,"Gas",25,0,1972,3,1560,1560,"Single Family",30.2023237130005,-97.8146830499997,"train","0"
"2710","295012","Duct_Board",5,"Inadequate",17,"Closet","Up Flow",1,444,"Gas","Tank","Water_Saving","N",108,"Gas",38,0,1979,3,1115,800,"Single Family",30.1903943400005,-97.7412757139997,"train","0"
"2711","341962","Duct_Board",4,"Inadequate",33.2,"Closet","Up Flow",16,518,"Elec","Tank","Standard","N",50,"Elec",2,36,1973,5,2591,1909,"Single Family",30.1849863270004,-97.8261777449997,"train","1"
"2713","232048","Grey_Flex",8,"Adequate",10,"Closet","Up Flow",14,474,"Gas","Tank","Water_Saving","Y",0,"Gas",14.5,23.5,1952,2,1422,1422,"Single Family",30.3347951850005,-97.7252222279997,"train","0"
"2714","100436","Duct_Board",4,"Adequate",19.5,"Closet","Up Flow",11,435,"Gas","Tank","Water_Saving","Y",0,"Gas",15,23,1978,2,870,0,"Duplex",30.2531254080005,-97.7712081129997,"test","0"
"2715","261861","Mylar_Flex",8,"Adequate",6,"Closet","Up Flow",17,589,"Gas","Tank","Standard","N",0,"Gas",24.6,13.4,1984,3,1769,1050,"Single Family",30.3986751310005,-97.6956735769997,"train","0"
"2716","496596","Sheet_Metal",6,"Adequate",20,"Attic","Horizontal",6,543,"Elec","Solar","Water_Saving","Y",0,"Elec",15,23,1981,3,1631,1331,"Single Family",30.3733548230005,-97.7884720669997,"train","0"
"2718","478598","Grey_Flex",6,"Adequate",21,"Garage","Up Flow",9,460,"Gas","Tank","Standard","N",0,"Gas",14.5,23.5,1980,4,1607,1607,"Single Family",30.4169553080005,-97.7194778409997,"train","0"
"2720","294241","Grey_Flex",8,"Adequate",20,"Closet","Up Flow",13,406,"Gas","Tank","Water_Saving","N",72,"Gas",20,19,1983,3,1064,1064,"Single Family",30.1680808010005,-97.8249888209997,"train","0"
"2721","373990","Grey_Flex",8,"Adequate",21,"Attic","Horizontal",10,400,"Gas","Tank","Water_Saving","N",0,"Gas",33,5,1996,3,1604,1604,"Single Family",30.1344724430004,-97.7787504329997,"test","0"
"2722","321030","Duct_Board",5,"Inadequate",30,"Closet","Up Flow",15,595,"Elec","Tank","Water_Saving","N",34,"Elec",11,27,1972,5,1785,1785,"Single Family",30.2110895280005,-97.8085703119997,"train","1"
"2724","373506","Mylar_Flex",8,"Adequate",10,"","",19,717,"Gas","Tank","Water_Saving","Y",12,"Gas",30,8,1995,4,2868,2868,"Single Family",30.1828555740005,-97.8549588969997,"train","0"
"2726","350718","Mylar_Flex",6,"Adequate",11.8,"Attic","Horizontal",20,500,"Gas","Tank","Water_Saving","Y",0,"Gas",22,16,1974,4,4574,3500,"Single Family",30.1383028240004,-97.7898222939997,"test","0"
"2727","218310","Sheet_Metal",4,"Adequate",27,"Closet","Up Flow",14,393,"Gas","Tank","Standard","N",56,"Gas",11,27,1961,2,787,787,"Duplex",30.3120947910004,-97.7235853729997,"train","1"
"2731","248589","Sheet_Metal",6,"Inadequate",8,"Closet","Up Flow",5,429,"Gas","Tank","Water_Saving","Y",0,"Gas",21,17,1968,3,1288,1288,"Single Family",30.3673249940005,-97.7368021999997,"train","0"
"2733","284966","Duct_Board",4,"Adequate",23,"Closet","Up Flow",7,432,"Elec","Tank","Water_Saving","N",30,"Gas",8,30,1978,4,2162,1103,"Duplex",30.2314613970005,-97.7208260039997,"train","0"
"2734","295452","Mylar_Flex",6,"Inadequate",17,"Closet","Up Flow",17,477,"Elec","Tank","Water_Saving","N",18,"Elec",16,22,1996,3,1193,1100,"Single Family",30.1918949880005,-97.7333425389997,"train","0"
"2737","505317","Grey_Flex",4,"Adequate",5.7,"Garage","Up Flow",15,514,"Elec","Tank","Water_Saving","N",108,"Elec",15,20,1979,3,1544,0,"Single Family",30.4143768480005,-97.7151713279997,"train","0"
"2739","337100","Mylar_Flex",6,"Adequate",14.4,"Closet","Up Flow",22,556,"Elec","Tank","Water_Saving","Y",19.5,"Elec",26,0,1992,3,1390,1390,"Single Family",30.1948453510005,-97.8345621809997,"test","0"
"2740","366154","Duct_Board",4.2,"Inadequate",18,"Attic","Horizontal",9,541,"Gas","Tank","Water_Saving","Y",0,"Gas",38,0,1995,4,3502,1880,"Single Family",30.2693743230005,-97.8029751619997,"train","0"
"2741","156448","Duct_Board",6,"Adequate",19.1,"Garage","Up Flow",16,625,"Gas","Tank","Standard","Y",0,"Gas",17,21,1984,4,2539,800,"Duplex",30.4012511770005,-97.7533266449997,"test","0"
"2743","174107","Mylar_Flex",6,"Adequate",9.8,"Closet","Up Flow",16,564,"Gas","Tank","Water_Saving","Y",101,"Gas",24,14,1984,3,1693,920,"Single Family",30.4389734810005,-97.7495120989997,"train","0"
"2744","246658","Duct_Board",6,"Adequate",12.3,"Garage","Horizontal",7,560,"Elec","Tank","Water_Saving","Y",0,"Elec",28,10,1970,5,2524,2000,"Single Family",30.3626785560004,-97.7014487579997,"train","0"
"2745","318063","Mylar_Flex",6,"Adequate",8,"Closet","Up Flow",13,604,"Gas","Tank","Standard","Y",0,"Gas",38,0,1979,4,1511,1511,"Single Family",30.2229241490004,-97.8602129379997,"train","0"
"2747","456789","Mylar_Flex",6,"Adequate",9,"Attic","Horizontal",14,477,"Gas","Tank","Water_Saving","Y",0,"Gas",30,8,2001,3,2964,1431,"Single Family",30.3718210120005,-97.8984717359997,"test","0"
"2749","253903","Mylar_Flex",8,"Adequate",18,"Closet","Up Flow",17,442,"Gas","Tank","Water_Saving","Y",0,"Gas",30.6,7.4,1977,3,1770,1250,"Single Family",30.3783174990004,-97.7511619809997,"train","0"
"2750","104517","Mylar_Flex",6,"Adequate",10,"Attic","Horizontal",6,562,"Gas","Tank","Water_Saving","N",0,"Gas",42,0,1981,4,2248,2248,"Single Family",30.2643974340004,-97.8019411719997,"train","0"
"2751","226286","Sheet_Metal",4,"Adequate",17.3,"Garage","Up Flow",18,411.8,"Gas","Tank","Standard","N",0,"Gas",38,0,1958,3,1647,900,"Single Family",30.3194523440005,-97.7481062049997,"train","0"
"2755","350886","Grey_Flex",6,"Adequate",22,"Closet","Up Flow",21,497,"Gas","Tank","Water_Saving","N",60,"Gas",15,23,1976,2,1243,1200,"Condo",30.1378266910004,-97.7930415189997,"train","0"
"2757","260260","Mylar_Flex",6,"Adequate",28.7,"Garage","Up Flow",13,385,"Gas","Tank","Water_Saving","Y",0,"Gas",22,16,1983,2,962,962,"Single Family",30.3942987380005,-97.7035901709997,"train","1"
