"","TCAD.or.WCAD.Property.ID..s.","Duct.System.1...Type","Duct.System.1...RValue","Duct.System.1...Return.Sizing","Duct.System.1.....Leakage","System.1...Location.Air.Handler","System.1...Air.Handler.Type","System.1...Age..years.","System.1...sqft.ton","Water.Heater...Fuel.Type","Water.Heating...Tank.Type","Toilet.Type","Programmable.Thermostat.Present","Window.Screen.Area.Recommended..sqft.","Furnace...Fuel.Type","Attic.R.Value","Recommended.Additional.R.Value","Year.Built","Bedrooms","Conditioned..sqft.","Attic..sqft.","Home_Type","Lat","Long","set","NeedsDuctFixed"
"8129","330261","Sheet_Metal",3,"Inadequate",44,"Closet","Up Flow",7,512,"Gas","Tank","Standard","N",323.7,"Gas",11.6,26.4,1971,3,1024,1024,"Single Family",30.1997736800005,-97.8038160929997,"train","1"
"8132","304557","Duct_Board",4,"Inadequate",32.5,"Closet","Up Flow",13,490,"Gas","Tank","Water_Saving","Y",108.5,"Gas",31,7,1976,3,1960,1960,"Single Family",30.2467177530004,-97.8281225459997,"train","1"
"8133","290179","Duct_Board",6,"Adequate",30,"Attic","Horizontal",22,520,"Gas","Tank","Standard","N",24,"Gas",12,26,1978,5,2080,0,"Duplex",30.2227666230004,-97.7356592439997,"train","1"
"8136","244464","Sheet_Metal",2,"Adequate",18.2,"Closet","Up Flow",11,406,"Gas","Tank","Water_Saving","Y",0,"Gas",11,27,1963,3,1218,1218,"Single Family",30.3615486280004,-97.7235190469997,"train","0"
"8137","349505","Sheet_Metal",6,"Adequate",18.2,"Closet","Up Flow",10,488,"Elec","Tank","Water_Saving","Y",124,"Elec",17,21,1983,4,3011,1000,"Single Family",30.1475459560004,-97.7845504869996,"train","0"
"8138","502572","Grey_Flex",6,"Inadequate",24,"Garage","Up Flow",13,479,"Elec","Tank","Standard","N",113,"Elec",30,8,1981,3,1437,1113,"Single Family",30.3904837540005,-97.6962586759997,"test","0"
"8140","304410","Mylar_Flex",6,"Adequate",9.6,"Attic","Horizontal",17,450,"Elec","Tank","Water_Saving","Y",0,"Elec",28,0,1997,3,2742,1400,"Single Family",30.2490285360005,-97.8236928539997,"test","0"
"8141","105744","Duct_Board",4,"Adequate",52,"Closet","Up Flow",10,543,"Elec","Tank","Water_Saving","Y",0,"Elec",38,0,1980,4,2384,1342,"Single Family",30.2683083550004,-97.8009841689997,"train","1"
"8142","344823","Mylar_Flex",6,"Adequate",21,"Closet","Up Flow",11,392,"Gas","Tank","Standard","Y",155,"Gas",11,27,1984,3,1570,1084,"Single Family",30.1766220260005,-97.8310219799997,"test","0"
"8145","510247","Mylar_Flex",6,"Adequate",8.5,"Closet","Up Flow",14,448,"Elec","Tank","Water_Saving","Y",0,"Gas",30,0,2000,3,1791,581,"Town Homes",30.2260225640005,-97.8740728989997,"test","0"
"8147","215904","Mylar_Flex",6,"Adequate",9,"Attic","Horizontal",24,573,"Gas","Tank","Water_Saving","Y",0,"Gas",25,12,1922,2,1432,1062,"Single Family",30.3068443040004,-97.7282649759997,"test","0"
"8148","305761","Grey_Flex",8,"Adequate",24,"","Horizontal",8,480,"Gas","Tank","Water_Saving","N",0,"Gas",13.2,24.8,1952,3,960,840,"Single Family",30.2396160330005,-97.7632761219997,"test","0"
"8150","167081","Mylar_Flex",6,"Adequate",25.8,"Closet","Up Flow",20,453,"Gas","Tank","Water_Saving","N",102,"Gas",14,24,1981,6,2268,2268,"Duplex",30.4274041690005,-97.7601540179997,"test","1"
"8151","319504","Duct_Board",6,"Adequate",8,"Garage","Up Flow",15,422,"Elec","Tank","Standard","Y",88,"Elec",23,0,1972,3,1266,966,"Single Family",30.2115455260005,-97.7855264399997,"test","0"
"8152","233625","Duct_Board",6,"Adequate",13,"Closet","Up Flow",6,602,"Gas","Tankless","Standard","N",0,"Elec",38,0,1948,3,1807,1807,"Single Family",30.3357450820005,-97.7360631279997,"train","0"
"8153","142700","Duct_Board",4,"Adequate",26.8,"Attic","Horizontal",5,588,"Elec","Tank","Standard","N",60,"Elec",33,0,1980,2,1470,1222,"Town Homes",30.3700870370005,-97.7587054859997,"train","1"
"8154","307782","Duct_Board",6,"Adequate",21,"Closet","Up Flow",11,456,"Gas","Tank","Water_Saving","N",0,"Gas",11.6,26.4,1973,2,912,912,"Duplex",30.2328281820004,-97.7777342089997,"train","0"
"8155","323339","Sheet_Metal",4,"Adequate",9,"Closet","Up Flow",18,524,"Gas","Tank","Water_Saving","Y",80,"Gas",32,3,1970,3,1574,0,"Single Family",30.2081545620005,-97.7982612119997,"train","0"
"8156","118461","Mylar_Flex",6,"Adequate",20.9,"Attic","Horizontal",7,545,"Gas","Tank","Water_Saving","Y",0,"Gas",15,23,1953,3,2183,1700,"Single Family",30.3015855250005,-97.7611489219997,"train","0"
"8157","344154","Mylar_Flex",4,"Adequate",27,"Closet","Up Flow",20,454,"Gas","Tank","Standard","N",107,"Gas",18,20,1981,4,2271,2271,"Single Family",30.1783737680005,-97.8116746489997,"test","1"
"8158","174016","Grey_Flex",6,"Adequate",13,"Closet","Up Flow",28,413.6,"Gas","Tank","Standard","Y",0,"Gas",15.4,21,1984,2,1034,1034,"Single Family",30.4382545450005,-97.7490655759997,"train","0"
"8159","229941","Duct_Board",6,"Adequate",24.2,"Attic","Horizontal",7,563,"Elec","Tank","Water_Saving","Y",4,"Elec",6,32,1958,3,1408,1056,"Single Family",30.3339353040005,-97.7255230669997,"train","0"
"8160","504929","Duct_Board",6,"Adequate",27,"Garage","Up Flow",12,467,"Gas","Tank","Water_Saving","Y",40,"Gas",0,24,1981,3,1403,1400,"Single Family",30.4163856070004,-97.7196566869997,"train","1"
